"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","오병준(7)","1.000","1","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","1.000","1.000","0","2.000","0.00","0.000"
"2","이준민(2)","0.667","2","6","3","4","2","1","1","0","0","3","0","2","0","0","0","2","0","1","0","0","1.000","0.833","1.000","1","1.833","0.00","0.500"
"3","김응진(33)","0.571","6","14","14","5","8","5","3","0","0","11","4","6","0","0","0","0","0","0","4","0","0.786","0.571","1.000","3","1.357","0.00","0.375"
"4","이동환(99)","0.500","4","6","4","3","2","2","0","0","0","2","0","4","0","0","0","0","0","2","0","0","0.500","0.667","1.000","0","1.167","0.00","0.000"
"4","고은석(18)","0.500","5","12","6","6","3","3","0","0","0","3","2","4","0","0","0","6","0","0","0","0","0.500","0.750","1.000","0","1.250","0.00","0.000"
"4","박인우(1)","0.500","1","2","2","0","1","1","0","0","0","1","2","1","0","0","0","0","0","0","1","0","0.500","0.500","1.000","0","1.000","0.00","0.000"
"5","강찬(36)","0.444","5","12","9","5","4","3","1","0","0","5","2","4","0","0","0","3","0","0","3","0","0.556","0.583","1.000","1","1.139","1.00","0.250"
"6","배요한(12)","0.417","8","21","12","6","5","2","3","0","0","8","9","8","0","0","1","8","0","0","3","0","0.667","0.619","1.000","0","1.286","2.67","0.600"
"7","조윤수(47)","0.400","2","5","5","2","2","2","0","0","0","2","2","1","0","0","0","0","0","0","1","0","0.400","0.400","1.000","0","0.800","0.00","0.000"
"8","정재환(35)","0.385","7","15","13","5","5","4","1","0","0","6","3","4","0","0","0","0","0","2","5","0","0.462","0.467","1.000","1","0.929","0.00","0.200"
"9","장지웅(17)","0.333","6","9","6","4","2","1","1","0","0","3","0","4","0","0","0","3","0","0","0","0","0.500","0.556","1.000","0","1.056","0.00","0.500"
"9","여병욱(38)","0.333","2","3","3","1","1","0","0","1","0","3","0","0","0","0","0","0","0","0","2","0","1.000","0.333","0.000","0","1.333","0.00","1.000"
"10","김영우(3)","0.286","5","7","7","1","2","2","0","0","0","2","2","1","0","0","0","0","0","0","3","0","0.286","0.286","1.000","0","0.572","0.00","0.000"
"11","방제민(11)","0.250","6","15","8","9","2","2","0","0","0","2","1","6","0","0","0","4","0","3","2","0","0.250","0.600","1.000","0","0.850","2.00","0.000"
"12","김인수(90)","0.231","6","15","13","3","3","2","1","0","0","4","5","5","0","0","0","1","0","1","4","0","0.308","0.333","1.000","1","0.641","0.25","0.333"
"13","김태훈(10)","0.200","6","13","10","3","2","2","0","0","0","2","0","2","0","0","0","3","0","0","2","0","0.200","0.385","1.000","0","0.585","1.50","0.000"
"13","정혜준(4)","0.200","3","5","5","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0.200","0.200","0.000","0","0.400","0.00","0.000"
"13","강대규(55)","0.200","6","6","5","2","1","1","0","0","0","1","1","0","0","0","0","1","0","0","2","0","0.200","0.333","0.000","0","0.533","0.50","0.000"
"14","한지성(51)","0.154","8","16","13","3","2","1","1","0","0","3","5","1","0","0","1","2","0","0","8","0","0.231","0.250","1.000","0","0.481","0.25","0.500"
"15","김동훈(14)","0.111","6","11","9","1","1","0","0","1","0","3","0","0","0","0","0","2","0","0","7","0","0.333","0.273","0.000","0","0.606","0.29","1.000"
"16","신승현(58)","0.000","2","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.000","0.000","0.000","0","0.000","0.00","0"
"16","길화종(9)","0.000","7","7","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0.000","0.000","0.000","0","0.000","0.00","0"
"16","김동호(15)","0.000","5","6","5","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0.000","0.167","0.000","0","0.167","1.00","0"
"16","김민재(25)","0.000","2","5","4","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0.000","0.200","1.000","0","0.200","0.00","0"
"16","이병희(21)","0.000","3","2","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0.000","0.000","1.000","0","0.000","0.00","0"
"16","박정택(20)","0.000","3","3","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0.000","0.000","0.000","0","0.000","0.00","0"
